,omni_id,date,century,dominant_color,dominant_color_family,palette,description,sentiment,image_url
0,9005036,1958,20,#e3e3e2,Whites,"['#f3f3f2', '#efefef', '#ededed', '#ebebea', '#e9e9e9', '#e8e7e7', '#e6e5e5', '#e3e3e2', '#eeeeee', '#ececeb', '#c7c6c4', '#4e4c45']","marcel duchamp began his career as a painter of conventional portraits and nudes. by 1912, however, he set out to prove the end of retinal artpictures created to delight the eyein order to put painting once again at the service of the mind. his answer was the readymade, an ordinary object transformed into a work of art by virtue of the artist selecting it. taken out of context, repositioned, and signed by the artist, the readymade upended tradition and artistic convention by revolutionizing the way we think about what an artwork is, how it is produced, and the ways in which it is exhibited. in 1914 duchamp purchased this mass-produced bottle rack at a department store. he felt free to acquire new versions for exhibitions and display after his sister accidentally discarded the original. he selected the present version for the 1959 exhibition art and the found object in new york. artist robert rauschenberg acquired bottl",1,"https://lakeimagesweb.artic.edu/iiif/2/db53d8ec-6570-34a7-d308-46e228a8ea80/full/6000,/0/default.jpg"
1,9005037,1789,18,#574637,Grays,"['#bead9a', '#a99784', '#998773', '#8d7b68', '#857562', '#7e6d5a', '#6e5d4c', '#645342', '#d5c4b3', '#756451', '#574637', '#46362a']","considered a model of chivalric behavior, the chevalier bayard , a french commander active in the so-called italian wars , was wounded during the fall of the city of brescia in 1512. bayard is taken to the home of a local noblewoman to recuperate, and she offers him a fortune in ransom money for her familys protection that he gallantly refuses.in his drawing, girodet mingles the emerging french vogue for the middle ages with the reigning taste for the antique. bayard looks like an ancient roman hero, while at the same time, the dress and trappings of the scene are medieval in a highly romanticized way.",1,"https://lakeimagesweb.artic.edu/iiif/2/49a2ada2-12af-4728-2b22-5087f835d8c6/full/6000,/0/default.jpg"
2,9005043,1526,16,#e8dcbe,Whites,"['#f5efe0', '#eadfc2', '#e7d9b9', '#e0d1b2', '#dacdb0', '#b0a58c', '#7a6f5a', '#e8dcbe', '#e8dabd', '#e4d8ba', '#e2d4b6', '#cbbea3']","burgkmair produced most of the designs for holy roman emperor maximilian is triumphal procession, an enormous frieze of over 130 woodcuts meant to decorate the state rooms of his nobles. the print expresses the emperors military strength, with group after group of foot soldiers and cavalry following him in an ongoing procession. here landsknechte in resplendent garb hoist halberds as they join the parade.",2,"https://lakeimagesweb.artic.edu/iiif/2/802574a7-aefb-2442-d9f1-bec0f2891d33/full/6000,/0/default.jpg"
3,9005051,1797,18,#332e24,Blacks,"['#fcf9f0', '#beaf95', '#b5a78d', '#948771', '#51493b', '#e9e0cc', '#d1c4a9', '#ac9e84', '#a2947b', '#7c705d', '#635a49', '#332e24']","sold into slavery as a boy, jean-baptiste belley  bought his freedom in 1764. belley fought in the american war of independence and served as a captain in the french army during the haitian revolution  fighting to abolish slavery on the island of saint-domingue . in 1793 he was elected to the national convention in paris, becoming its first black deputy.belley wears the uniform of a representative to the convention. as we know from the painting for which this is a highly finished study or copy drawing, his hat feathers and sash are the colors of the french republic: blue, white, and red. he leans against a marble plinth supporting a bust of the french philosopher and enemy of slavery guillaume raynal .",-1,"https://lakeimagesweb.artic.edu/iiif/2/0a1ab1b5-a9e6-542a-b044-8cfd1351092f/full/6000,/0/default.jpg"
4,9005052,1508,16,#756858,Grays,"['#e5d9c4', '#d7cbb7', '#cbbba3', '#c3af90', '#a89983', '#9a8568', '#887d6e', '#55493e', '#bfa47d', '#afa494', '#a0907a', '#756858']","this unique woodcut is printed in black and powdered gold inks on vellum. it may be the most opulent result of the emperor maximilians competition with elector frederick the wise of saxony and his court artist, lucas cranach. that contest produced an early form of chiaroscuro printing, a technique using black line blocks and colored tone or blocks for lighting effects. indeed, as the only known impression of the equestrian portrait printed in black and gold on vellum, the chicago print may well be the dedication impression sent to frederick.",-1,"https://lakeimagesweb.artic.edu/iiif/2/c55a5294-8e97-daad-f1ec-73be9cb7aaf8/full/6000,/0/default.jpg"
5,9005053,1799,18,#c2baa6,Grays,"['#e8e1cd', '#e4ddc9', '#e2dbc7', '#e1d9c4', '#ded7c3', '#dcd3bd', '#e5deca', '#e3dcc8', '#d7d0bb', '#d0c8b2', '#c2baa6', '#a29a87']","girodet was one of the star pupils of jacques louis david. as a young man, he supported himself by making drawings as book illustrations.  for the deluxe three-volume edition of the works of jean racine, published in 1801, girodet provided drawings for phaedra and andromaque.  this sheet is a preparatory work for the latter; it is the scene in which hermione spurns orestes after he has killed pyrrhus at her request.",-2,"https://lakeimagesweb.artic.edu/iiif/2/7a280a42-d50a-455f-25ab-01bdfbbb7c2a/full/6000,/0/default.jpg"
6,9005056,1888,19,#dbb88d,Yellows,"['#eed7b9', '#ba9973', '#a88d6c', '#917758', '#816d52', '#dbb88d', '#cfac82', '#c4a279', '#998061', '#735e46', '#675641', '#524230']","when rousseau was a toll operator for one of pariss city gates, he made the decision to become an artist. with no academic training, he started copying works at the muse du louvre in 1884 and two years later exhibited his works with the neo-impressionists at the salon des indpendants. in this drawing rousseaus lack of formal training is evident in the flattened forms and odd spatial relations of the landscape. these idiosyncrasies would inspire artists such as vasily kandinsky and pablo picasso.",1,"https://lakeimagesweb.artic.edu/iiif/2/24a3860d-c3c8-f876-f0dd-903927c3a194/full/6000,/0/default.jpg"
7,9005057,1907,20,#cab691,Yellows,"['#f1ddb7', '#ecd9b3', '#e9d5ad', '#e7cfa4', '#968363', '#f1dbb0', '#faeacc', '#f9f2e1', '#f6e2bc', '#f2e0ba', '#ddcaa4', '#cab691']","according to his close friend, artist robert delaunay, all of rousseaus drawings were destroyed after his death. however, as the inscription indicates, this rare drawing was a gift from the artist to a certain mademoiselle herminie, and it survived as a result. rousseau often used flowers in his work for their symbolic meanings. he was particularly fond of daisies, which traditionally represent innocence and purity. perhaps a more heartfelt message was intended here, as the petals of daisies are often plucked, one by one, to find out if one is loved: she loves me, she loves me not.",1,"https://lakeimagesweb.artic.edu/iiif/2/c82dc372-5a5b-f567-a299-aeb618c9c576/full/6000,/0/default.jpg"
8,9005059,1930,20,#3d312c,Grays,"['#d3d3d3', '#cfcfcf', '#c7c7c7', '#c3c3c3', '#bab9b9', '#b5b5b5', '#afafaf', '#88817c', '#3d312c', '#dadada', '#cbcaca', '#bebebe']","this elaborate ceremonial drum takes the form of a seated woman gracefully balancing a load on her head. the figures stylized features are characteristic of senufo figural art, in particular that of the hereditary kulebele woodcarvers, a group of artists who have historically traveled widely to work on location for patrons who commission their work. the strong and dignified female figure that holds this drum aloft evokes the senufo ideal of women as family founders and spiritual mediators and guardians. her composed expression projects a sense of inner calm that belies the great weight she carries, while her seated pose reflects a position of honor within the community. the drums hide-covered resonating chamber is embellished with motifs that allude to conflict and competition, including warriors, a snake devouring a fish, and a crocodile biting into the decorative edge of the drum itself. these motifs emphasize the importance of",2,"https://lakeimagesweb.artic.edu/iiif/2/ff0c78be-e121-ac2a-eb6e-67b3475a7792/full/6000,/0/default.jpg"
9,9005060,1870,19,#cac5cb,Grays,"['#e9e7ed', '#e6e3e7', '#dfd9de', '#d3cfd3', '#cac5cb', '#aa857e', '#794d4a', '#e2dee3', '#dcd8dc', '#d9d6db', '#d8d0d3', '#533037']","while architect and interior designer theophil hansen incorporated classical elements into his furniture designs, he also embraced contemporary advances in manufacturing, including the use of steam to bend solid and laminated wood, as seen in the curved forms of this chairs back. laminated bentwood furniture is most closely associated with the viennese firm gebrder thonet, the first manufacturers to produce bentwood on an industrial scale. when thonets patent expired in 1869, however, others such as hansen and jacob and josef kohn  were able to experiment with new designs using the technique.",0,"https://lakeimagesweb.artic.edu/iiif/2/f180876c-8875-e461-a5b0-8d80cdeb5f0b/full/6000,/0/default.jpg"
10,9005097,1910,20,#3f604d,Grays,"['#9ab1a6', '#6d4f48', '#667b5e', '#56795f', '#546f57', '#394d40', '#b9d2d4', '#a9c8cb', '#7c8064', '#5e6852', '#4b664f', '#3f604d']","henri rousseau was a self-taught artist who worked as a customs agent on the outskirts of paris. his visionary paintingsin particular, those on the theme of the junglecaptivated the art world with their representations of lush plant and animal life painted with incredible detail and precision. rousseau made the waterfall in the last year of his life, and it may have been left unfinished: a few leaves on the branches of the tree in the left foreground lack some of the artist's characteristic overlapping layers of color. though rousseau depicted exotic, distant locales, he never set foot outside france. his imaginary scenes were informed by visits to the paris zoo and botanical gardens, and images from postcards, photographs, and illustrated journals.",1,"https://lakeimagesweb.artic.edu/iiif/2/1c95fda6-24ae-7a84-ffb0-3abf8d33d9f0/full/6000,/0/default.jpg"
11,9005111,1804,19,#514c40,Grays,"['#e5ddd0', '#b6ad9e', '#a1998a', '#928b7c', '#827b6d', '#736d60', '#6b6558', '#635d50', '#c8c0b2', '#5b564a', '#514c40', '#39362c']","boilly showed six paintings in the salon of 1804. although he received a gold medal, the painting for which this is a preliminary drawing was severely criticized for its candid reportage of what were then considered activities of questionable moralities. the painting depicted the spectators in the gallery of the tribunat, as the palais royal was called from 1800 to 1807.",-1,"https://lakeimagesweb.artic.edu/iiif/2/08972e0b-3a6e-5b56-9b1d-05b6f7a9c5bd/full/6000,/0/default.jpg"
12,9005114,1822,19,#a4b098,Grays,"['#c5c19c', '#9e9167', '#7e7752', '#645936', '#554322', '#393b23', '#261d0b', '#0f1509', '#d2caa1', '#b3b89a', '#a4b098', '#2e2a15']","in this picture, several families, unable to pay rent, move their households through the streets of paris in search of new shelter. the tension of this social drama is expressed by the contradictory elements of the settingto the left is the church of santa maria dei miracoli in rome. most of the figures in the composition travel away from the roman church. the owners of the principal wagon, however, a humble family that appears to have come from the provinces to make a fortune in paris, move toward the distant mirage of the church. this juxtaposition alludes to the futility of such efforts in the grim urban and political realities of the time.",-2,"https://lakeimagesweb.artic.edu/iiif/2/30bcc655-1e60-f5ba-6158-e11fdffa891d/full/6000,/0/default.jpg"
13,9005146,1910,20,#f9e8cd,Whites,"['#b09f85', '#5b5349', '#2c2925', '#201f1e', '#fbf2e0', '#f9e8cd', '#f6e4c7', '#f0dab9', '#e1d0b2', '#ccba9c', '#8f8677', '#1c1a1a']","when this drawing was acquired in 1985, the sitter had been identified as pechstein's first wife, lotte. in 1988, the museum was contacted by his son, max pechstein, who identified the subject not as lotte, but as lotte's mother, frau kaprolat.",0,"https://lakeimagesweb.artic.edu/iiif/2/ade37808-6491-976f-36e0-ce18aaf3577a/full/6000,/0/default.jpg"
14,9005303,104,2,#717171,Grays,"['#7f7563', '#7b7161', '#78674e', '#717171', '#6f7173', '#6e6557', '#71716f', '#453b29', '#a79879', '#7c6e57', '#615644', '#717173']","governing the peoplethe good emperors dedicated themselves to the well-being of the people, but as the back of their coins indicate, each ruler had his own understanding of what made good government. trajan devoted his energy to military campaigns to enlarge the empire. on this coin, the emperor trajan, mounted and with a spear, overcomes the helpless enemy who represents the people of dacia in eastern europe.",1,"https://lakeimagesweb.artic.edu/iiif/2/37fdbca7-b84f-15a4-7cec-97cbab320fb6/full/6000,/0/default.jpg"
15,9005323,1927,20,#c5c4b2,Grays,"['#cccbb9', '#c4bda1', '#c1b595', '#c0b17f', '#957d44', '#dcdcd9', '#c9c4b0', '#c5c4b2', '#bca65d', '#bbbea6', '#a7b29a', '#a6a472']","after george eastman introduced the handheld kodak #1 camera in 1888, amateurs made millions of snapshots depicting friends and family, travels, and festive occasions such as weddings. even while solidifying such thoroughly conventional behaviors, amateur photography developed a new pictorial language that privileged immediacy, spontaneity, and accident. career photographers and art historiansbut also antiques vendors and flea-market shoppershave long recognized the value of the snapshot aesthetic. the rise of social media and smartphones in recent years has effectively ended the era of the snapshot as both a printed photograph and an image for a private audience.",0,"https://lakeimagesweb.artic.edu/iiif/2/d7d4d396-2871-d5dc-ab70-199d28cb72d4/full/6000,/0/default.jpg"
16,9005501,100,2,#aaaaac,Grays,"['#b4b3b2', '#a7a7a9', '#959597', '#878788', '#42413c', '#acaaa9', '#aaaaac', '#aaaaaa', '#a9aaab', '#a0a0a2', '#707070', '#5d5c5a']","this statue depicting dionysos, god of wine and theater, is one of very few bronze statues to have survived from antiquity. it is thought that he once held a kantharos, or wine cup, in his raised right arm and may have held a thyrsos, a staff topped by a pine cone, in his left, since the deity is shown holding them in other ancient sculptures and paintings.",0,"https://lakeimagesweb.artic.edu/iiif/2/73313035-ffd3-206d-a8cc-1ffdf4bc3650/full/6000,/0/default.jpg"
17,9005511,1969,20,#060101,Blacks,"['#fffff9', '#f9f7e5', '#908968', '#060101', '#d8d0b7', '#aba485', '#5b543a', '#352e1b', '#282010', '#120a05', '#080403', '#030000']","protests saturated postwar japans political landscape. in 1960 public demonstrations were sparked by the ratification of a lopsided security treaty between japan and the united states, which was escalating involvement in vietnam. large-scale protests were also mounted against the construction of narita airport, led by leftists who opposed the airport out of antimilitarist, anti-american sentiments, as well as farmers whose land would be seized in order to make room for the massive facility. while the airport was completed in 1972, it only opened in 1978 after the government finally quelled the dogged resisters. this picture is one of a group of 500 made anonymously by one or more protesters against the airport, and purchased by the art institute in 2010.",0,"https://lakeimagesweb.artic.edu/iiif/2/448fffb3-4627-9b93-5ea7-2202ccb178c8/full/6000,/0/default.jpg"
18,9005526,1850,19,#5b5548,Grays,"['#f9f5ea', '#d7bb88', '#c7a360', '#7c7d75', '#706f61', '#5b5548', '#ac8852', '#ac9c6e', '#8f8871', '#886a39', '#65665d', '#464037']","almost immediately after it was introduced in new york in september 1839, the daguerreotype became enormously popular in the united states. the first truly commercial photographic process, it was prized by millions for its precise, jewel-like detail and tonal range. to meet the public's increasing demand for these affordable portraits, photographers proliferated around the country. most portraits were made in a studio, but itinerant operators also traveled to make images, such as this portrait of a pharmacist in his place of business, possibly in bennington, vermont. posing behind the counter with the tools of his tradea mortar and pestle, apothecary jars, and measuring implementsthe pharmacist had to remain still during the long exposure time that the process required in low light. finally, the photographer sealed the photographic plate in a vacuum package to prevent tarnishing before encasing it in leather.",1,"https://lakeimagesweb.artic.edu/iiif/2/d827f6ec-d625-ec95-a1b8-05253b2d9273/full/6000,/0/default.jpg"
19,9005529,1595,16,#5b574d,Grays,"['#f2e9cf', '#ede3cf', '#e6dbc7', '#dfd7c5', '#d6cfbd', '#ada797', '#7d796c', '#5b574d', '#eae0cb', '#c9c2b1', '#bcb6a6', '#999486']","jacob de gheyn iis oval engraving of christs miracle of the loaves and fishes elegantly references this event in which the masses, who had come to hear christs sermon, were fed by his multiplying the few crusts of bread and pieces of fish the disciples had procured. once again, the miracle of replication appears at the heart of the christian tradition, making print an optimal medium for depicting its holy stories and cult objects. that the engraving plate is an oval platter offers an additional reference to the miracle it depicts; it is as if the resulting loaves might be piled on it for distribution.",1,"https://lakeimagesweb.artic.edu/iiif/2/bd5e3376-dda2-604d-c9a9-0b2da622cc56/full/6000,/0/default.jpg"
20,9005535,1605,17,#9d7f5a,Yellows,"['#e5c7a1', '#dbbd97', '#d8bb95', '#d4b58f', '#d0b38c', '#bc9d76', '#9d7f5a', '#65492b', '#dec09b', '#d6b892', '#cdae87', '#c8aa82']","jacques de gheyn trained as a glass painter, miniaturist, and ultimately as an engraver under hendrick goltzius. this extraordinary drawing belongs to his mature, realistic style and reflects his sympathy for nomadic people, his interest in witchcraft, and his fascination with fortune-tellers.",1,"https://lakeimagesweb.artic.edu/iiif/2/4c40a42e-2a10-7bda-b641-a63b0937e71c/full/6000,/0/default.jpg"
21,9005542,1588,16,#efbc62,Yellows,"['#f2cb84', '#e1ab58', '#88551e', '#663b11', '#f1eee4', '#efbc62', '#b58846', '#a26a2a', '#704e23', '#4c3619', '#442c11', '#3b200a']","gillis van breen  seems to have been a member of hendrik goltzius's workshop for at least the years 1588-92, when goltzius made three portrait drawings of him. van breen is described in an inscription on an impression of this print at the rijksmuseum, amsterdam, as goltzius's art printer, and some scholars speculate that he may have made this print himself after one of goltzius's drawings of him.",0,"https://lakeimagesweb.artic.edu/iiif/2/dbb82186-6288-bf80-7476-ef3b2d112291/full/6000,/0/default.jpg"
